RespondentID,What is your location?,What is your age?,What is your gender?,What is your role?,What is your industry?,Which AI tools do you prefer to use?,Which SaaS tools do you use within your role?,"On a scale of 1-10, how satisfied are you with your role?","On a scale of 1-10, how useful is AI in your role?",Any comments you would like to leave about your role?
1,Illinois,45-54,Female,Engineer,Healthcare,Copilot | ChatGPT,Asana,5,3,Management could improve communication.
2,Texas,18-24,Male,Manager,Retail,Other | Claude,Notion | Salesforce | Asana,5,5,I enjoy my role but workload is high.
3,Florida,45-54,Female,Sales,Retail,ChatGPT | Gemini | Other,Asana | Zoom | Salesforce,8,5,Management could improve communication.
4,Florida,18-24,Female,HR,Finance,ChatGPT | Other,Jira,4,3,
5,New York,55+,Female,Data Analyst,Tech,Other,Slack | Asana | Notion,3,8,Management could improve communication.
6,Illinois,45-54,Non-binary,Engineer,Tech,Claude | Other,Slack | Asana,6,2,I love the team culture here.
7,Texas,18-24,Male,Engineer,Retail,Copilot | Other | Claude,Asana | Notion | Salesforce,4,7,
8,Texas,35-44,Prefer not to say,Data Analyst,Tech,Gemini | Other,Notion | Zoom | Salesforce | Asana,10,5,AI has made my job much easier.
9,Florida,35-44,Female,Manager,Finance,Gemini,Zoom | Notion,1,6,Management could improve communication.
10,New York,55+,Female,Data Analyst,Finance,Copilot | Other | Gemini,Asana,4,3,Management could improve communication.
11,California,18-24,Male,HR,Retail,ChatGPT | Other,Slack | Zoom,3,3,
12,New York,18-24,Male,Engineer,Finance,Claude,Slack | Jira | Salesforce | Asana,5,9,I love the team culture here.
13,California,25-34,Prefer not to say,Sales,Tech,ChatGPT | Claude | Gemini,Salesforce | Notion,7,9,
14,Texas,45-54,Male,Data Analyst,Finance,ChatGPT,Notion | Zoom | Salesforce | Slack,4,6,Great opportunities for growth.
15,New York,45-54,Prefer not to say,Manager,Tech,ChatGPT | Gemini | Claude,Jira | Zoom,10,8,Great opportunities for growth.
16,New York,35-44,Prefer not to say,Engineer,Finance,Claude | Gemini | Other,Slack | Notion | Zoom | Salesforce,9,10,AI has made my job much easier.
17,Texas,25-34,Male,HR,Education,Other,Notion | Zoom,7,3,Great opportunities for growth.
18,New York,55+,Male,HR,Tech,Other | Claude,Slack,7,3,I enjoy my role but workload is high.
19,Texas,55+,Prefer not to say,Manager,Healthcare,Claude,Notion | Asana | Slack,9,5,AI has made my job much easier.
20,Texas,55+,Prefer not to say,HR,Tech,Copilot,Salesforce | Notion | Jira | Asana,6,4,Great opportunities for growth.
21,Texas,45-54,Male,Manager,Finance,ChatGPT,Zoom,1,10,
22,New York,55+,Non-binary,Data Analyst,Retail,Copilot | Claude | Other,Salesforce | Notion | Zoom | Jira,6,1,Great opportunities for growth.
23,California,35-44,Non-binary,HR,Retail,ChatGPT | Other | Copilot,Asana,5,1,I love the team culture here.
24,New York,25-34,Non-binary,Sales,Tech,Other | Claude | Gemini,Jira | Salesforce,9,4,I enjoy my role but workload is high.
25,Texas,18-24,Non-binary,HR,Education,Copilot | ChatGPT,Zoom | Jira | Asana,1,1,I love the team culture here.
26,Texas,18-24,Male,Data Analyst,Retail,ChatGPT | Other,Slack,9,5,Management could improve communication.
27,New York,55+,Male,Data Analyst,Retail,Gemini | Claude | Copilot,Zoom | Jira,1,6,Management could improve communication.
28,New York,35-44,Male,Engineer,Education,Claude,Salesforce | Zoom | Slack,7,9,Management could improve communication.
29,Texas,45-54,Prefer not to say,Engineer,Finance,Claude | Other | Gemini,Notion | Salesforce,3,3,AI has made my job much easier.
30,California,55+,Female,HR,Healthcare,ChatGPT | Gemini,Zoom,1,3,Management could improve communication.
31,California,25-34,Male,HR,Education,Gemini,Notion | Asana,2,6,Great opportunities for growth.
32,New York,18-24,Female,Data Analyst,Retail,Other | Claude | ChatGPT,Notion,3,3,Management could improve communication.
33,California,55+,Female,HR,Healthcare,Gemini | Claude,Notion,4,3,
34,New York,55+,Male,Manager,Healthcare,ChatGPT | Copilot,Zoom | Salesforce | Slack,10,8,
35,New York,18-24,Female,HR,Retail,Other | Claude | Copilot,Notion | Jira,2,6,Management could improve communication.
36,Texas,45-54,Male,Data Analyst,Education,Copilot | Claude | ChatGPT,Notion | Jira | Slack,6,5,
37,California,55+,Prefer not to say,Manager,Education,Gemini | Claude,Salesforce | Zoom | Notion | Asana,6,2,Management could improve communication.
38,Illinois,35-44,Male,Data Analyst,Retail,Gemini | Other,Asana | Jira | Slack | Zoom,1,7,I love the team culture here.
39,Florida,45-54,Non-binary,Manager,Retail,Claude | ChatGPT,Asana,2,8,I love the team culture here.
40,Texas,55+,Non-binary,HR,Healthcare,ChatGPT,Notion,10,10,I love the team culture here.
41,Florida,25-34,Prefer not to say,Manager,Retail,Copilot | Other,Asana | Slack | Notion | Zoom,2,4,Great opportunities for growth.
42,California,35-44,Female,Data Analyst,Finance,Other | Gemini,Asana | Salesforce | Zoom,7,2,
43,Illinois,25-34,Prefer not to say,Data Analyst,Finance,Claude | Other | Copilot,Asana | Salesforce,2,7,AI has made my job much easier.
44,New York,25-34,Male,Sales,Finance,ChatGPT | Gemini,Salesforce | Slack | Jira,7,7,I enjoy my role but workload is high.
45,New York,55+,Male,Engineer,Healthcare,ChatGPT,Salesforce | Asana | Slack,4,6,Great opportunities for growth.
46,New York,18-24,Female,Manager,Retail,Copilot,Salesforce | Slack | Notion | Jira,5,2,I love the team culture here.
